CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,AverageMonthlySpending,TotalChargesPerTenure,MonthlyChargeCategory,TenureGroup,IsLongTermContract,IsElectronicPayment
C00001,6,64,1540,One year,Credit Card,No,1,0,256.6666666666667,256.6666666666667,Low,New,1,0
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,0,83.47619047619048,83.47619047619048,Medium,Developing,0,1
C00003,27,31,1455,Two year,Credit Card,No,1,0,53.888888888888886,53.888888888888886,Low,Established,1,0
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,0,134.9056603773585,134.9056603773585,Low,Loyal,0,1
C00005,16,185,1023,One year,Electronic Check,No,1,0,63.9375,63.9375,High,Developing,1,1
C00006,55,44,7538,Two year,Electronic Check,No,0,0,137.05454545454546,137.05454545454546,Low,Loyal,1,1
C00007,66,99,4178,Two year,Bank Transfer,No,1,0,63.303030303030305,63.303030303030305,Medium,Loyal,1,0
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,0,50.622950819672134,50.622950819672134,Medium,Loyal,0,0
C00009,64,124,7973,Month-to-month,Credit Card,No,1,0,124.578125,124.578125,Medium,Loyal,0,0
C00010,14,120,5844,One year,Bank Transfer,Yes,1,0,417.42857142857144,417.42857142857144,Medium,Developing,1,0
C00011,59,57,5168,One year,Credit Card,Yes,0,0,87.59322033898304,87.59322033898304,Low,Loyal,1,0
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,1,1040.2857142857142,1040.2857142857142,Medium,New,0,1
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,0,64.86792452830188,64.86792452830188,Medium,Loyal,0,0
C00014,8,158,6194,Month-to-month,Credit Card,No,1,1,774.25,774.25,High,New,0,0
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,0,14.49056603773585,14.49056603773585,Low,Loyal,0,0
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,0,62.63076923076923,62.63076923076923,Medium,Loyal,0,0
C00017,19,187,4874,Two year,Credit Card,No,0,0,256.5263157894737,256.5263157894737,High,Developing,1,0
C00018,42,101,3736,One year,Bank Transfer,Yes,0,0,88.95238095238095,88.95238095238095,Medium,Established,1,0
C00019,7,156,5389,One year,Bank Transfer,Yes,0,1,769.8571428571429,769.8571428571429,High,New,1,0
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,0,264.15384615384613,264.15384615384613,Medium,Established,0,0
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,0,26.31578947368421,26.31578947368421,Medium,Established,0,1
C00022,25,120,4855,Two year,Credit Card,Yes,0,0,194.2,194.2,Medium,Established,1,0
C00023,60,40,1755,One year,Credit Card,No,1,0,29.25,29.25,Low,Loyal,1,0
C00024,30,100,3710,Two year,Credit Card,No,1,0,123.66666666666667,123.66666666666667,Medium,Established,1,0
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,0,302.6,302.6,High,Established,0,0
C00026,47,181,3295,One year,Credit Card,No,1,0,70.1063829787234,70.1063829787234,High,Established,1,0
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,0,62.35,62.35,Medium,Loyal,0,0
C00028,20,56,3950,One year,Bank Transfer,No,1,0,197.5,197.5,Low,Developing,1,0
C00029,36,175,3682,One year,Bank Transfer,No,0,0,102.27777777777777,102.27777777777777,High,Established,1,0
C00030,34,190,7540,One year,Bank Transfer,No,1,0,221.76470588235293,221.76470588235293,High,Established,1,0
C00031,28,101,4643,One year,Electronic Check,Yes,1,0,165.82142857142858,165.82142857142858,Medium,Established,1,1
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,1,482.5,482.5,High,New,0,0
C00033,43,182,7129,One year,Electronic Check,Yes,0,0,165.7906976744186,165.7906976744186,High,Established,1,1
C00034,32,195,7139,One year,Bank Transfer,Yes,1,0,223.09375,223.09375,High,Established,1,0
C00035,60,44,1302,One year,Credit Card,No,1,0,21.7,21.7,Low,Loyal,1,0
C00036,50,116,690,Month-to-month,Credit Card,No,1,0,13.8,13.8,Medium,Loyal,0,0
C00037,37,42,947,Month-to-month,Electronic Check,No,0,0,25.594594594594593,25.594594594594593,Low,Established,0,1
C00038,62,166,6225,Two year,Electronic Check,Yes,1,0,100.40322580645162,100.40322580645162,High,Loyal,1,1
C00039,50,84,858,Month-to-month,Credit Card,No,0,0,17.16,17.16,Medium,Loyal,0,0
C00040,26,151,1952,Two year,Electronic Check,No,0,0,75.07692307692308,75.07692307692308,High,Established,1,1
C00041,42,20,1950,Two year,Credit Card,Yes,1,0,46.42857142857143,46.42857142857143,Low,Established,1,0
C00042,7,148,2701,Two year,Credit Card,Yes,0,0,385.85714285714283,385.85714285714283,Medium,New,1,0
C00043,63,89,6547,One year,Electronic Check,Yes,0,0,103.92063492063492,103.92063492063492,Medium,Loyal,1,1
C00044,42,123,3913,Month-to-month,Credit Card,No,1,0,93.16666666666667,93.16666666666667,Medium,Established,0,0
C00045,34,93,3344,Two year,Credit Card,Yes,0,0,98.3529411764706,98.3529411764706,Medium,Established,1,0
C00046,32,170,4773,Two year,Credit Card,No,1,0,149.15625,149.15625,High,Established,1,0
C00047,22,46,7555,Month-to-month,Bank Transfer,No,1,0,343.40909090909093,343.40909090909093,Low,Developing,0,0
C00048,37,162,3735,Month-to-month,Electronic Check,Yes,1,0,100.94594594594595,100.94594594594595,High,Established,0,1
C00049,56,49,3376,Month-to-month,Bank Transfer,No,0,0,60.285714285714285,60.285714285714285,Low,Loyal,0,0
C00050,49,121,5161,One year,Bank Transfer,Yes,0,0,105.3265306122449,105.3265306122449,Medium,Loyal,1,0
C00051,71,172,416,Month-to-month,Electronic Check,No,1,0,5.859154929577465,5.859154929577465,High,Loyal,0,1
C00052,31,154,7537,Two year,Credit Card,Yes,1,0,243.1290322580645,243.1290322580645,High,Established,1,0
C00053,53,48,1497,One year,Credit Card,No,0,0,28.245283018867923,28.245283018867923,Low,Loyal,1,0
C00054,49,68,2615,Month-to-month,Bank Transfer,Yes,1,0,53.36734693877551,53.36734693877551,Low,Loyal,0,0
C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,1,780.2222222222222,780.2222222222222,High,New,0,0
