CustomerID,cluster
C00001,4
C00002,0
C00003,5
C00004,2
C00005,4
C00006,5
C00007,5
C00008,2
C00009,2
C00010,1
C00011,3
C00012,2
C00013,1
C00014,2
C00015,3
C00016,3
C00017,5
C00018,1
C00019,1
C00020,1
C00021,2
C00022,3
C00023,4
C00024,5
C00025,2
C00026,4
C00027,2
C00028,4
C00029,4
C00030,4
C00031,0
C00032,3
C00033,0
C00034,1
C00035,4
C00036,2
C00037,2
C00038,0
C00039,2
C00040,5
C00041,3
C00042,3
C00043,0
C00044,2
C00045,3
C00046,5
C00047,2
C00048,0
C00049,2
C00050,1
C00051,2
C00052,3
C00053,4
C00054,1
C00055,2
C00056,1
C00057,4
C00058,1
C00059,1
C00060,2
C00061,2
C00062,5
C00063,4
C00064,4
C00065,3
C00066,4
C00067,4
C00068,3
C00069,3
C00070,4
C00071,2
C00072,0
C00073,5
C00074,2
C00075,0
C00076,1
C00077,3
C00078,1
C00079,1
C00080,3
C00081,5
C00082,4
C00083,5
C00084,2
C00085,1
C00086,3
C00087,4
C00088,4
C00089,1
C00090,3
C00091,5
C00092,5
C00093,0
C00094,5
C00095,4
C00096,0
C00097,2
C00098,2
C00099,5
C00100,4
C00101,2
C00102,0
C00103,1
C00104,0
C00105,5
C00106,1
C00107,3
C00108,4
C00109,0
C00110,0
C00111,1
C00112,5
C00113,2
C00114,2
C00115,4
C00116,4
C00117,0
C00118,1
C00119,1
C00120,4
C00121,3
C00122,4
C00123,5
C00124,0
C00125,3
C00126,0
C00127,4
C00128,1
C00129,1
C00130,3
C00131,2
C00132,2
C00133,1
C00134,2
C00135,1
C00136,1
C00137,2
C00138,0
C00139,3
C00140,0
C00141,5
C00142,1
C00143,2
C00144,1
C00145,1
C00146,4
C00147,4
C00148,1
C00149,1
C00150,2
C00151,4
C00152,2
C00153,5
C00154,5
C00155,1
C00156,1
C00157,0
C00158,1
C00159,4
C00160,1
C00161,0
C00162,0
C00163,3
C00164,2
C00165,1
C00166,3
C00167,1
C00168,4
C00169,2
C00170,3
C00171,1
C00172,0
C00173,3
C00174,2
C00175,3
C00176,5
C00177,4
C00178,4
C00179,4
C00180,3
C00181,2
C00182,1
C00183,3
C00184,3
C00185,1
C00186,2
C00187,0
C00188,4
C00189,0
C00190,3
C00191,1
C00192,2
C00193,4
C00194,2
C00195,4
C00196,3
C00197,4
C00198,2
C00199,5
C00200,0
C00201,5
C00202,4
C00203,3
C00204,5
C00205,3
C00206,0
C00207,4
C00208,2
C00209,0
C00210,3
C00211,3
C00212,5
C00213,3
C00214,2
C00215,0
C00216,1
C00217,3
C00218,1
C00219,4
C00220,1
C00221,5
C00222,2
C00223,2
C00224,0
C00225,4
C00226,3
C00227,1
C00228,0
C00229,4
C00230,5
C00231,4
C00232,4
C00233,5
C00234,4
C00235,4
C00236,5
C00237,4
C00238,2
C00239,3
C00240,1
C00241,0
C00242,5
C00243,5
C00244,1
C00245,5
C00246,2
C00247,4
C00248,4
C00249,1
C00250,5
C00251,0
C00252,5
C00253,3
C00254,0
C00255,5
C00256,0
C00257,2
C00258,3
C00259,5
C00260,0
C00261,1
C00262,5
C00263,3
C00264,4
C00265,0
C00266,1
C00267,3
C00268,5
C00269,5
C00270,5
C00271,2
C00272,3
C00273,0
C00274,2
C00275,2
C00276,1
C00277,5
C00278,3
C00279,4
C00280,5
C00281,5
C00282,0
C00283,2
C00284,1
C00285,3
C00286,0
C00287,4
C00288,1
C00289,4
C00290,3
C00291,3
C00292,5
C00293,1
C00294,1
C00295,5
C00296,0
C00297,2
C00298,2
C00299,5
C00300,0
C00301,3
C00302,2
C00303,1
C00304,1
C00305,2
C00306,4
C00307,1
C00308,5
C00309,2
C00310,1
C00311,2
C00312,3
C00313,3
C00314,1
C00315,4
C00316,4
C00317,2
C00318,2
C00319,2
C00320,1
C00321,4
C00322,1
C00323,1
C00324,1
C00325,4
C00326,4
C00327,3
C00328,0
C00329,4
C00330,0
C00331,5
C00332,3
C00333,4
C00334,1
C00335,2
C00336,2
C00337,5
C00338,0
C00339,4
C00340,1
C00341,2
C00342,3
C00343,0
C00344,0
C00345,4
C00346,2
C00347,4
C00348,2
C00349,4
C00350,0
C00351,1
C00352,3
C00353,0
C00354,3
C00355,2
C00356,5
C00357,3
C00358,0
C00359,2
C00360,1
C00361,5
C00362,3
C00363,1
C00364,5
C00365,4
C00366,2
C00367,3
C00368,0
C00369,2
C00370,5
C00371,4
C00372,1
C00373,1
C00374,0
C00375,1
C00376,1
C00377,4
C00378,5
C00379,5
C00380,4
C00381,3
C00382,3
C00383,5
C00384,1
C00385,2
C00386,2
C00387,1
C00388,5
C00389,2
C00390,0
C00391,4
C00392,3
C00393,3
C00394,1
C00395,0
C00396,0
C00397,3
C00398,3
C00399,4
C00400,5
C00401,2
C00402,3
C00403,3
C00404,2
C00405,2
C00406,2
C00407,4
C00408,4
C00409,2
C00410,1
C00411,4
C00412,1
C00413,5
C00414,5
C00415,3
C00416,3
C00417,1
C00418,0
C00419,2
C00420,1
C00421,1
C00422,4
C00423,4
C00424,3
C00425,0
C00426,2
C00427,1
C00428,3
C00429,4
C00430,4
C00431,3
C00432,4
C00433,3
C00434,0
C00435,2
C00436,1
C00437,2
C00438,3
C00439,4
C00440,2
C00441,4
C00442,5
C00443,5
C00444,4
C00445,4
C00446,5
C00447,0
C00448,2
C00449,0
C00450,5
C00451,4
C00452,4
C00453,2
C00454,4
C00455,2
C00456,5
C00457,0
C00458,0
C00459,2
C00460,0
C00461,2
C00462,0
C00463,1
C00464,0
C00465,2
C00466,4
C00467,5
C00468,0
C00469,1
C00470,1
C00471,0
C00472,2
C00473,0
C00474,5
C00475,3
C00476,3
C00477,0
C00478,0
C00479,2
C00480,5
C00481,0
C00482,0
C00483,5
C00484,3
C00485,2
C00486,2
C00487,2
C00488,0
C00489,3
C00490,0
C00491,3
C00492,2
C00493,3
C00494,0
C00495,4
C00496,3
C00497,5
C00498,2
C00499,3
C00500,2
